player_id,champions_goals,champions_assists,champions_yellow,champions_red,champions_minutes
1,0,0,0,0,450
2,0,0,0,0,270
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,1,0,253
6,1,0,0,0,587
7,1,0,0,1,236
8,0,0,0,0,147
9,0,0,2,0,562
10,0,0,1,0,35
11,0,1,1,0,242
12,0,2,1,0,484
13,0,0,1,0,182
14,0,0,1,0,334
15,0,2,1,0,584
16,0,0,1,0,495
17,0,0,0,0,86
18,1,0,0,0,136
19,1,1,0,0,495
20,0,0,0,0,11
21,0,0,0,0,17
22,1,3,0,0,161
23,0,0,0,0,17
24,3,2,0,0,381
25,0,0,1,0,333
26,0,0,0,0,0
27,3,2,0,0,231
28,2,0,1,0,503
29,5,2,0,0,540
