player_id,cup_goals,cup_assists,cup_yellow,cup_red,cup_minutes
1,0,0,0,0,420
2,0,0,0,0,210
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,320
6,0,0,0,0,200
7,1,0,0,0,202
8,0,0,0,0,338
9,0,0,0,0,435
10,0,0,0,0,154
11,0,0,1,0,465
12,2,5,2,0,442
13,0,0,2,0,73
14,0,0,0,0,470
15,3,2,0,0,510
16,0,0,1,0,120
17,0,0,1,0,162
18,0,0,0,0,0
19,0,2,0,0,428
20,0,0,0,0,125
21,0,0,0,0,0
22,0,0,0,0,0
23,0,0,0,0,19
24,2,0,1,0,334
25,0,0,1,0,236
26,0,0,0,0,0
27,2,0,1,0,215
28,3,4,0,0,541
29,3,1,2,0,510
