player_id,league_goals,league_assists,league_yellow,league_red,league_minutes
1,0,0,1,0,2790
2,0,0,0,0,630
3,0,0,0,0,0
4,0,0,0,0,0
5,1,1,2,0,285
6,2,1,1,0,1913
7,0,0,3,0,1485
8,2,1,3,0,1506
9,1,0,7,2,2476
10,0,0,1,0,638
11,2,2,4,0,1901
12,3,7,9,0,3030
13,1,2,1,0,943
14,0,5,9,0,2527
15,3,4,5,0,3158
16,0,0,1,0,619
17,1,0,1,0,281
18,2,2,0,0,656
19,3,3,2,0,2425
20,1,3,1,0,536
21,0,0,0,0,0
22,4,1,1,0,435
23,0,0,0,0,0
24,6,3,2,0,1776
25,3,2,1,0,683
26,0,0,0,0,0
27,2,2,3,0,1160
28,13,8,4,0,2619
29,30,11,4,0,3022
