player_id,supercup_goals,supercup_assists,supercup_yellow,supercup_red,supercup_minutes
1,0,0,0,0,240
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,6
6,0,0,0,0,45
7,0,0,0,0,0
8,0,0,0,0,240
9,0,0,1,0,225
10,0,0,0,0,0
11,0,0,1,0,188
12,0,1,1,0,240
13,0,0,0,0,0
14,0,0,0,0,187
15,1,0,0,0,240
16,0,0,0,0,61
17,0,0,0,0,52
18,0,0,0,0,0
19,0,0,0,0,178
20,0,0,0,0,0
21,0,0,0,0,0
22,0,0,0,0,0
23,0,0,0,0,0
24,0,0,1,0,208
25,0,0,0,0,57
26,0,0,0,0,0
27,0,0,0,0,110
28,2,1,0,0,240
29,0,0,0,1,120
